GameOver TIMESTEP: 49, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.664286e-02, Episode Reward: 3.799999999999999, Average Reward: 3.799999999999999, Standard Deviation Of Score: 0.0, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 99, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.820778e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8499999999999988, Standard Deviation Of Score: 0.04999999999999982, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 149, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.896118e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8666666666666654, Standard Deviation Of Score: 0.047140452079103, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 199, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.514652e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8749999999999987, Standard Deviation Of Score: 0.04330127018922177, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 249, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.044959e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.879999999999998, Standard Deviation Of Score: 0.039999999999999855, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 299, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.650015e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8833333333333315, Standard Deviation Of Score: 0.037267799624996364, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 349, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.903106e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.885714285714284, Standard Deviation Of Score: 0.03499271061118813, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 399, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.456356e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8874999999999984, Standard Deviation Of Score: 0.03307189138830727, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 449, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.135817e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8888888888888875, Standard Deviation Of Score: 0.031426968052735337, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 499, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.105821e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8899999999999983, Standard Deviation Of Score: 0.02999999999999989, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 549, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.964744e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8909090909090893, Standard Deviation Of Score: 0.028747978728803348, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 599, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.572951e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8916666666666653, Standard Deviation Of Score: 0.027638539919628228, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 649, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.566345e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.892307692307691, Standard Deviation Of Score: 0.026646935501059555, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 699, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.394627e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8928571428571415, Standard Deviation Of Score: 0.02575393768188554, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 749, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.941117e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8933333333333318, Standard Deviation Of Score: 0.02494438257849285, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 799, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.827854e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8937499999999985, Standard Deviation Of Score: 0.024206145913796266, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 849, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.418610e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.894117647058822, Standard Deviation Of Score: 0.023529411764705795, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 899, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.501382e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8944444444444426, Standard Deviation Of Score: 0.022906142364542477, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 949, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.367360e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8947368421052615, Standard Deviation Of Score: 0.022329687826943525, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 999, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.087212e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8949999999999987, Standard Deviation Of Score: 0.02179449471770329, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1049, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.847282e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8952380952380943, Standard Deviation Of Score: 0.02129588549999792, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1099, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.640799e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.895454545454545, Standard Deviation Of Score: 0.020829889522526467, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1149, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.001006e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.895652173913043, Standard Deviation Of Score: 0.020393111999232234, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1199, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.753294e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.895833333333332, Standard Deviation Of Score: 0.01998263134713626, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1249, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.801033e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.895999999999999, Standard Deviation Of Score: 0.019595917942265353, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1299, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.616714e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8961538461538456, Standard Deviation Of Score: 0.01923076923076916, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1349, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.580524e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.896296296296296, Standard Deviation Of Score: 0.018885257457750985, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1400, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.543359e-02, Episode Reward: 3.9999999999999982, Average Reward: 3.8999999999999995, Standard Deviation Of Score: 0.026726124191242342, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1450, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.406817e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9, Standard Deviation Of Score: 0.026261286571944417, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1500, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.551044e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9, Standard Deviation Of Score: 0.025819888974716022, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1550, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.655230e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9000000000000004, Standard Deviation Of Score: 0.02540002540003801, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 1600, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.114649e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8999999999999986, Standard Deviation Of Score: 0.02499999999999991, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
